customerNumber,productName,orderMonth,priceEach,quantityOrdered,final_payment
145,"1969 Ford Falcon",2,141.88,29,4114.52
145,"1903 Ford Model A",2,136.59,22,3004.98
145,"Collectable Wooden Train",2,87.73,38,3333.74
145,"1904 Buick Runabout",2,75.48,41,3094.68
145,"18th century schooner",2,117.97,43,5072.71
145,"1912 Ford Model T Delivery Wagon",2,73.46,44,3232.24
145,"1940 Ford Delivery Sedan",2,75.47,50,3773.50
145,"The Schooner Bluenose",2,54.00,41,2214.00
145,"The Mayflower",2,86.61,29,2511.69
145,"The USS Constitution Ship",2,60.72,31,1882.32
145,"The Titanic",2,92.16,39,3594.24
145,"The Queen Mary",2,99.31,22,2184.82
145,"Pont Yacht",2,44.77,25,1119.25
278,"1980s Black Hawk Helicopter",2,134.04,36,4825.44
278,"P-51-D Mustang",2,81.10,34,2757.40
278,"1999 Yamaha Speed Boat",2,80.86,41,3315.26
278,"1941 Chevrolet Special Deluxe Cabriolet",2,94.22,41,3863.02
278,"1928 British Royal Navy Airplane",2,107.23,28,3002.44
278,"1900s Vintage Bi-Plane",2,65.77,49,3222.73
278,"1937 Horch 930V Limousine",2,55.89,31,1732.59
278,"Corsair F4U ( Bird Cage)",2,55.96,50,2798.00
278,"1900s Vintage Tri-Plane",2,71.00,26,1846.00
278,"1928 Ford Phaeton Deluxe",2,65.35,33,2156.55
278,"1930 Buick Marquette Phaeton",2,35.78,39,1395.42
278,"American Airlines: B767-300",2,91.34,31,2831.54
278,"HMS Bounty",2,85.09,30,2552.70
278,"America West Airlines B757-200",2,99.72,34,3390.48
278,"ATA: B757-300",2,113.90,32,3644.80
278,"F/A 18 Hornet 1/72",2,76.00,44,3344.00
278,"American Airlines: MD-11S",2,70.33,48,3375.84
278,"Boeing X-32A JSF",2,43.70,48,2097.60
131,"1969 Harley Davidson Ultimate Chopper",2,81.35,30,2440.50
131,"1996 Moto Guzzi 1100i",2,105.86,39,4128.54
131,"2003 Harley-Davidson Eagle Drag Bike",2,172.36,27,4653.72
131,"2002 Suzuki XREO",2,122.00,21,2562.00
131,"1936 Harley Davidson El Knucklehead",2,52.70,29,1528.30
131,"1997 BMW R 1100 S",2,96.92,25,2423.00
131,"1960 BSA Gold Star DBD34",2,73.12,38,2778.56
131,"1997 BMW F650 ST",2,88.90,20,1778.00
385,"1968 Ford Mustang",3,165.38,33,5457.54
385,"1968 Dodge Charger",3,96.30,45,4333.50
385,"1970 Plymouth Hemi Cuda",3,75.81,39,2956.59
385,"1969 Dodge Charger",3,107.10,36,3855.60
385,"1948 Porsche 356-A Roadster",3,67.76,38,2574.88
385,"1969 Dodge Super Bee",3,73.17,26,1902.42
385,"1976 Ford Gran Torino",3,132.29,29,3836.41
385,"1957 Vespa GS150",3,52.84,43,2272.12
385,"1957 Corvette Convertible",3,139.87,44,6154.28
385,"1982 Ducati 900 Monster",3,64.41,35,2254.35
385,"1971 Alpine Renault 1600s",3,60.01,30,1800.30
385,"1956 Porsche 356A Coupe",3,132.00,40,5280.00
385,"1961 Chevrolet Impala",3,67.10,31,2080.10
385,"1982 Ducati 996 R",3,36.21,27,977.67
385,"1974 Ducati 350 Mk3 Desmo",3,87.76,31,2720.56
385,"2002 Yamaha YZR M1",3,74.85,34,2544.90
486,"1993 Mazda RX-7",3,117.48,26,3054.48
486,"1995 Honda Civic",3,137.98,38,5243.24
486,"1999 Indy 500 Monte Carlo SS",3,126.72,26,3294.72
486,"1992 Ferrari 360 Spider red",3,160.87,46,7400.02
486,"1948 Porsche Type 356 Roadster",3,125.74,47,5909.78
486,"1982 Lamborghini Diablo",3,32.10,29,930.90
187,"1965 Aston Martin DB5",3,118.22,37,4374.14
187,"1917 Grand Touring Sedan",3,153.00,42,6426.00
187,"1911 Ford Town Car",3,51.46,32,1646.72
187,"1932 Model A Ford J-Coupe",3,115.69,33,3817.77
187,"1928 Mercedes-Benz SSK",3,163.69,31,5074.39
187,"1932 Alfa Romeo 8C2300 Spider Sport",3,81.91,28,2293.48
187,"1957 Ford Thunderbird",3,62.00,42,2604.00
187,"1970 Chevy Chevelle SS 454",3,72.02,36,2592.72
187,"1966 Shelby Cobra 427 S/C",3,43.27,29,1254.83
187,"1939 Chevrolet Deluxe Coupe",3,28.88,20,577.60
187,"1938 Cadillac V-16 Presidential Limousine",3,40.77,39,1590.03
187,"1949 Jaguar XK 120",3,82.69,43,3555.67
187,"1952 Citroen-15CV",3,112.74,46,5186.04
187,"1969 Chevrolet Camaro Z28",3,80.47,27,2172.69
187,"2002 Chevy Corvette",3,96.37,37,3565.69
187,"1936 Mercedes Benz 500k Roadster",3,35.29,48,1693.92
129,"1937 Lincoln Berline",3,87.33,33,2881.89
129,"1936 Mercedes-Benz 500K Special Roadster",3,48.52,48,2328.96
129,"1934 Ford V8 Coupe",3,53.09,28,1486.52
129,"18th Century Vintage Horse Carriage",3,94.25,43,4052.75
129,"1917 Maxwell Touring Car",3,91.27,39,3559.53
129,"1936 Chrysler Airflow",3,85.70,26,2228.20
144,"1952 Alpine Renault 1300",3,197.16,29,5717.64
144,"1913 Ford Model T Speedster",3,85.10,23,1957.30
124,"1958 Setra Bus",3,121.64,21,2554.44
124,"1940 Ford Pickup Truck",3,101.50,49,4973.50
124,"1939 Cadillac Limousine",3,43.27,50,2163.50
124,"1996 Peterbilt 379 Stake Bed with Outrigger",3,58.82,23,1352.86
172,"1962 LanciaA Delta 16V",4,128.53,31,3984.43
172,"1964 Mercedes Tour Bus",4,106.78,39,4164.42
172,"1926 Ford Fire Engine",4,53.48,45,2406.60
172,"1992 Ferrari 360 Spider red",4,169.34,48,8128.32
172,"1940s Ford truck",4,105.34,41,4318.94
172,"1962 Volkswagen Microbus",4,102.23,21,2146.83
172,"1958 Chevy Corvette Limited Edition",4,28.64,24,687.36
172,"1980’s GM Manhattan Express",4,88.61,32,2835.52
172,"1954 Greyhound Scenicruiser",4,43.83,28,1227.24
172,"1982 Camaro Z28",4,82.94,42,3483.48
424,"1957 Chevy Pickup",4,111.39,46,5123.94
424,"1998 Chrysler Plymouth Prowler",4,140.81,46,6477.26
424,"1970 Dodge Coronet",4,56.64,47,2662.08
424,"1992 Porsche Cayenne Turbo Silver",4,106.45,44,4683.80
424,"Diamond T620 Semi-Skirted Tanker",4,100.70,27,2718.90
381,"1950's Chicago Surface Lines Streetcar",4,60.28,27,1627.56
148,"2001 Ferrari Enzo",4,195.33,33,6445.89
148,"1969 Corvair Monza",4,148.06,43,6366.58
148,"1969 Ford Falcon",4,173.02,39,6747.78
148,"1903 Ford Model A",4,121.57,26,3160.82
148,"Collectable Wooden Train",4,81.68,21,1715.28
148,"1970 Triumph Spitfire",4,122.08,22,2685.76
148,"1904 Buick Runabout",4,73.73,23,1695.79
148,"18th century schooner",4,119.20,41,4887.20
148,"1962 City of Detroit Streetcar",4,55.65,21,1168.65
148,"The Mayflower",4,75.35,38,2863.30
148,"The Queen Mary",4,89.38,45,4022.10
148,"Pont Yacht",4,52.42,50,2621.00
216,"The Titanic",4,86.15,36,3101.40
382,"1972 Alfa Romeo GTA",4,112.88,46,5192.48
382,"1980s Black Hawk Helicopter",4,151.38,43,6509.34
382,"1999 Yamaha Speed Boat",4,74.84,21,1571.64
382,"1941 Chevrolet Special Deluxe Cabriolet",4,95.28,27,2572.56
382,"1900s Vintage Bi-Plane",4,64.40,41,2640.40
382,"1912 Ford Model T Delivery Wagon",4,72.58,35,2540.30
382,"1937 Horch 930V Limousine",4,63.12,20,1262.40
382,"1940 Ford Delivery Sedan",4,82.18,35,2876.30
382,"Corsair F4U ( Bird Cage)",4,62.10,28,1738.80
382,"The Schooner Bluenose",4,57.34,25,1433.50
382,"HMS Bounty",4,74.23,29,2152.67
382,"The USS Constitution Ship",4,67.22,38,2554.36
382,"American Airlines: MD-11S",4,63.67,26,1655.42
382,"Boeing X-32A JSF",4,40.22,28,1126.16
114,"1996 Moto Guzzi 1100i",4,118.94,29,3449.26
114,"2003 Harley-Davidson Eagle Drag Bike",4,158.80,46,7304.80
114,"P-51-D Mustang",4,82.79,29,2400.91
114,"1936 Harley Davidson El Knucklehead",4,57.54,46,2646.84
114,"1997 BMW R 1100 S",4,110.45,35,3865.75
114,"1928 British Royal Navy Airplane",4,93.01,39,3627.39
114,"1960 BSA Gold Star DBD34",4,72.36,34,2460.24
114,"1900s Vintage Tri-Plane",4,71.73,29,2080.17
114,"1997 BMW F650 ST",4,94.90,22,2087.80
114,"1928 Ford Phaeton Deluxe",4,68.79,29,1994.91
114,"1930 Buick Marquette Phaeton",4,41.46,49,2031.54
114,"American Airlines: B767-300",4,91.34,47,4292.98
114,"America West Airlines B757-200",4,81.77,24,1962.48
114,"ATA: B757-300",4,106.79,24,2562.96
114,"F/A 18 Hornet 1/72",4,72.00,43,3096.00
353,"1969 Harley Davidson Ultimate Chopper",5,86.13,34,2928.42
353,"2002 Suzuki XREO",5,126.52,50,6326.00
353,"1982 Ducati 900 Monster",5,58.18,32,1861.76
353,"1974 Ducati 350 Mk3 Desmo",5,95.93,25,2398.25
353,"2002 Yamaha YZR M1",5,72.41,44,3186.04
350,"1968 Ford Mustang",5,155.66,42,6537.72
350,"1968 Dodge Charger",5,113.92,37,4215.04
350,"1970 Plymouth Hemi Cuda",5,65.44,32,2094.08
350,"1969 Dodge Charger",5,104.80,20,2096.00
350,"1993 Mazda RX-7",5,114.65,34,3898.10
350,"1948 Porsche 356-A Roadster",5,62.37,43,2681.91
350,"1995 Honda Civic",5,113.80,31,3527.80
350,"1992 Ferrari 360 Spider red",5,137.17,25,3429.25
350,"1969 Dodge Super Bee",5,69.15,21,1452.15
350,"1976 Ford Gran Torino",5,133.76,21,2808.96
350,"1957 Vespa GS150",5,59.06,35,2067.10
350,"1957 Corvette Convertible",5,145.82,28,4082.96
350,"1982 Lamborghini Diablo",5,34.74,39,1354.86
350,"1971 Alpine Renault 1600s",5,50.82,34,1727.88
350,"1956 Porsche 356A Coupe",5,136.22,43,5857.46
350,"1961 Chevrolet Impala",5,67.10,29,1945.90
350,"1982 Ducati 996 R",5,33.79,31,1047.49
103,"1965 Aston Martin DB5",5,120.71,26,3138.46
103,"1999 Indy 500 Monte Carlo SS",5,114.84,46,5282.64
103,"1948 Porsche Type 356 Roadster",5,117.26,34,3986.84
103,"1966 Shelby Cobra 427 S/C",5,43.27,50,2163.50
112,"1917 Grand Touring Sedan",5,153.00,21,3213.00
112,"1911 Ford Town Car",5,58.12,42,2441.04
112,"1932 Model A Ford J-Coupe",5,111.87,42,4698.54
112,"1932 Alfa Romeo 8C2300 Spider Sport",5,75.46,36,2716.56
112,"1957 Ford Thunderbird",5,66.28,23,1524.44
112,"1970 Chevy Chevelle SS 454",5,62.47,22,1374.34
112,"1939 Chevrolet Deluxe Coupe",5,30.53,45,1373.85
112,"1938 Cadillac V-16 Presidential Limousine",5,36.29,22,798.38
112,"1949 Jaguar XK 120",5,74.51,32,2384.32
112,"1952 Citroen-15CV",5,93.95,25,2348.75
112,"1969 Chevrolet Camaro Z28",5,76.19,49,3733.31
112,"2002 Chevy Corvette",5,101.73,43,4374.39
112,"1936 Mercedes Benz 500k Roadster",5,36.11,46,1661.06
114,"1937 Lincoln Berline",5,89.38,32,2860.16
114,"1928 Mercedes-Benz SSK",5,138.38,34,4704.92
458,"1952 Alpine Renault 1300",5,205.73,38,7817.74
458,"1962 LanciaA Delta 16V",5,122.62,22,2697.64
458,"1958 Setra Bus",5,135.30,21,2841.30
458,"1940 Ford Pickup Truck",5,116.67,38,4433.46
458,"1936 Mercedes-Benz 500K Special Roadster",5,51.21,42,2150.82
458,"1926 Ford Fire Engine",5,51.05,43,2195.15
458,"1913 Ford Model T Speedster",5,93.21,31,2889.51
458,"1934 Ford V8 Coupe",5,61.84,46,2844.64
458,"18th Century Vintage Horse Carriage",5,93.20,30,2796.00
458,"1917 Maxwell Touring Car",5,94.25,38,3581.50
458,"1940s Ford truck",5,102.92,50,5146.00
458,"1939 Cadillac Limousine",5,47.29,43,2033.47
458,"1962 Volkswagen Microbus",5,122.68,27,3312.36
458,"1936 Chrysler Airflow",5,83.76,34,2847.84
458,"1980’s GM Manhattan Express",5,82.83,43,3561.69
458,"1996 Peterbilt 379 Stake Bed with Outrigger",5,62.05,26,1613.30
458,"1982 Camaro Z28",5,97.10,45,4369.50
151,"2001 Ferrari Enzo",6,193.25,46,8889.50
151,"1969 Corvair Monza",6,140.50,46,6463.00
151,"1969 Ford Falcon",6,169.56,42,7121.52
151,"1957 Chevy Pickup",6,100.73,24,2417.52
151,"1998 Chrysler Plymouth Prowler",6,140.81,45,6336.45
151,"1964 Mercedes Tour Bus",6,114.14,45,5136.30
151,"1992 Ferrari 360 Spider red",6,149.02,22,3278.44
151,"1970 Triumph Spitfire",6,126.39,25,3159.75
151,"1970 Dodge Coronet",6,50.86,20,1017.20
151,"1958 Chevy Corvette Limited Edition",6,34.30,39,1337.70
151,"1992 Porsche Cayenne Turbo Silver",6,107.63,20,2152.60
151,"1954 Greyhound Scenicruiser",6,46.53,45,2093.85
151,"1950's Chicago Surface Lines Streetcar",6,60.90,29,1766.10
151,"Diamond T620 Semi-Skirted Tanker",6,111.12,46,5111.52
151,"1962 City of Detroit Streetcar",6,55.65,46,2559.90
141,"1903 Ford Model A",6,120.20,41,4928.20
141,"Collectable Wooden Train",6,80.67,41,3307.47
141,"1904 Buick Runabout",6,77.24,43,3321.32
141,"The Mayflower",6,72.75,32,2328.00
324,"1972 Alfa Romeo GTA",6,123.76,33,4084.08
324,"18th century schooner",6,113.06,45,5087.70
324,"1912 Ford Model T Delivery Wagon",6,81.43,41,3338.63
324,"1940 Ford Delivery Sedan",6,76.31,50,3815.50
324,"The Schooner Bluenose",6,58.67,31,1818.77
324,"The USS Constitution Ship",6,72.28,45,3252.60
324,"The Titanic",6,90.15,42,3786.30
324,"The Queen Mary",6,94.34,30,2830.20
324,"Pont Yacht",6,44.23,32,1415.36
198,"1999 Yamaha Speed Boat",6,68.82,40,2752.80
198,"1941 Chevrolet Special Deluxe Cabriolet",6,99.52,33,3284.16
447,"1980s Black Hawk Helicopter",6,141.92,21,2980.32
447,"1900s Vintage Bi-Plane",6,60.97,35,2133.95
447,"1937 Horch 930V Limousine",6,52.60,29,1525.40
447,"Corsair F4U ( Bird Cage)",6,54.59,50,2729.50
447,"HMS Bounty",6,76.94,22,1692.68
447,"America West Airlines B757-200",6,86.76,40,3470.40
447,"American Airlines: MD-11S",6,63.67,26,1655.42
447,"Boeing X-32A JSF",6,40.22,21,844.62
323,"F/A 18 Hornet 1/72",6,80.00,36,2880.00
141,"P-51-D Mustang",6,80.26,49,3932.74
141,"1928 British Royal Navy Airplane",6,109.42,41,4486.22
141,"1900s Vintage Tri-Plane",6,61.58,46,2832.68
141,"1997 BMW F650 ST",6,80.91,23,1860.93
141,"1928 Ford Phaeton Deluxe",6,67.41,49,3303.09
141,"1930 Buick Marquette Phaeton",6,37.09,27,1001.43
141,"American Airlines: B767-300",6,76.73,24,1841.52
141,"ATA: B757-300",6,115.09,27,3107.43
250,"1969 Harley Davidson Ultimate Chopper",7,90.92,41,3727.72
250,"1996 Moto Guzzi 1100i",7,116.56,27,3147.12
250,"2003 Harley-Davidson Eagle Drag Bike",7,187.85,31,5823.35
250,"2002 Suzuki XREO",7,131.04,20,2620.80
250,"1936 Harley Davidson El Knucklehead",7,51.48,30,1544.40
250,"1997 BMW R 1100 S",7,94.67,35,3313.45
250,"1960 BSA Gold Star DBD34",7,75.41,43,3242.63
124,"1968 Ford Mustang",7,173.17,42,7273.14
124,"1968 Dodge Charger",7,110.39,48,5298.72
124,"1970 Plymouth Hemi Cuda",7,72.62,24,1742.88
124,"1969 Dodge Charger",7,103.64,29,3005.56
124,"1948 Porsche 356-A Roadster",7,66.99,48,3215.52
124,"1969 Dodge Super Bee",7,65.94,45,2967.30
124,"1976 Ford Gran Torino",7,139.64,42,5864.88
124,"1957 Vespa GS150",7,49.74,45,2238.30
124,"1957 Corvette Convertible",7,133.92,31,4151.52
124,"1982 Ducati 900 Monster",7,67.18,29,1948.22
124,"1982 Lamborghini Diablo",7,34.36,20,687.20
124,"1971 Alpine Renault 1600s",7,52.05,27,1405.35
124,"1956 Porsche 356A Coupe",7,139.03,47,6534.41
124,"1961 Chevrolet Impala",7,76.80,23,1766.40
124,"1982 Ducati 996 R",7,38.62,33,1274.46
124,"1974 Ducati 350 Mk3 Desmo",7,91.85,30,2755.50
124,"2002 Yamaha YZR M1",7,78.92,44,3472.48
242,"1993 Mazda RX-7",7,117.48,25,2937.00
242,"1995 Honda Civic",7,120.91,36,4352.76
242,"1992 Ferrari 360 Spider red",7,169.34,41,6942.94
353,"1965 Aston Martin DB5",7,115.73,44,5092.12
353,"1999 Indy 500 Monte Carlo SS",7,110.88,37,4102.56
353,"1948 Porsche Type 356 Roadster",7,118.68,31,3679.08
353,"1966 Shelby Cobra 427 S/C",7,40.25,26,1046.50
496,"1917 Grand Touring Sedan",7,149.60,33,4936.80
496,"1911 Ford Town Car",7,51.46,22,1132.12
496,"1932 Model A Ford J-Coupe",7,114.42,38,4347.96
496,"1932 Alfa Romeo 8C2300 Spider Sport",7,79.15,47,3720.05
496,"1957 Ford Thunderbird",7,64.86,23,1491.78
496,"1970 Chevy Chevelle SS 454",7,59.53,45,2678.85
496,"1939 Chevrolet Deluxe Coupe",7,33.19,22,730.18
496,"1938 Cadillac V-16 Presidential Limousine",7,38.53,33,1271.49
496,"1949 Jaguar XK 120",7,73.60,28,2060.80
496,"1952 Citroen-15CV",7,96.30,30,2889.00
496,"1969 Chevrolet Camaro Z28",7,77.05,49,3775.45
496,"2002 Chevy Corvette",7,99.58,21,2091.18
496,"1936 Mercedes Benz 500k Roadster",7,32.82,29,951.78
282,"1937 Lincoln Berline",7,89.38,31,2770.78
282,"1936 Mercedes-Benz 500K Special Roadster",7,52.83,49,2588.67
282,"1928 Mercedes-Benz SSK",7,151.88,41,6227.08
282,"1913 Ford Model T Speedster",7,91.18,46,4194.28
282,"1934 Ford V8 Coupe",7,52.47,20,1049.40
282,"18th Century Vintage Horse Carriage",7,101.58,20,2031.60
282,"1917 Maxwell Touring Car",7,81.35,30,2440.50
282,"1936 Chrysler Airflow",7,93.49,29,2711.21
161,"1952 Alpine Renault 1300",7,186.44,37,6898.28
161,"1962 LanciaA Delta 16V",7,131.49,26,3418.74
161,"1958 Setra Bus",7,118.90,38,4518.20
161,"1940 Ford Pickup Truck",7,95.67,32,3061.44
161,"1926 Ford Fire Engine",7,51.05,46,2348.30
161,"1940s Ford truck",7,100.50,40,4020.00
161,"1939 Cadillac Limousine",7,40.25,29,1167.25
161,"1962 Volkswagen Microbus",7,118.84,47,5585.48
161,"1980’s GM Manhattan Express",7,87.64,26,2278.64
161,"1996 Peterbilt 379 Stake Bed with Outrigger",7,62.05,28,1737.40
161,"1982 Camaro Z28",7,101.15,36,3641.40
334,"1957 Chevy Pickup",8,114.95,21,2413.95
334,"1998 Chrysler Plymouth Prowler",8,160.46,39,6257.94
334,"1964 Mercedes Tour Bus",8,103.09,47,4845.23
334,"1992 Ferrari 360 Spider red",8,143.94,34,4893.96
334,"1970 Dodge Coronet",8,50.86,20,1017.20
334,"1958 Chevy Corvette Limited Edition",8,32.18,21,675.78
334,"1992 Porsche Cayenne Turbo Silver",8,104.09,40,4163.60
334,"1954 Greyhound Scenicruiser",8,53.03,24,1272.72
334,"Diamond T620 Semi-Skirted Tanker",8,94.92,44,4176.48
124,"2001 Ferrari Enzo",8,166.24,33,5485.92
124,"1969 Corvair Monza",8,140.50,33,4636.50
124,"1969 Ford Falcon",8,167.83,46,7720.18
124,"1903 Ford Model A",8,129.76,47,6098.72
124,"Collectable Wooden Train",8,95.80,22,2107.60
124,"1970 Triumph Spitfire",8,122.08,24,2929.92
124,"1904 Buick Runabout",8,79.87,24,1916.88
124,"18th century schooner",8,114.29,33,3771.57
124,"1912 Ford Model T Delivery Wagon",8,74.35,49,3643.15
124,"1950's Chicago Surface Lines Streetcar",8,60.90,42,2557.80
124,"1962 City of Detroit Streetcar",8,56.24,42,2362.08
124,"The Schooner Bluenose",8,55.34,41,2268.94
124,"The Mayflower",8,77.08,43,3314.44
124,"The Titanic",8,92.16,21,1935.36
124,"The Queen Mary",8,91.37,38,3472.06
124,"Pont Yacht",8,46.96,39,1831.44
320,"1972 Alfa Romeo GTA",8,133.28,49,6530.72
320,"1980s Black Hawk Helicopter",8,126.15,32,4036.80
320,"1999 Yamaha Speed Boat",8,70.54,46,3244.84
320,"1941 Chevrolet Special Deluxe Cabriolet",8,99.52,34,3383.68
320,"1900s Vintage Bi-Plane",8,63.71,27,1720.17
320,"1937 Horch 930V Limousine",8,59.83,33,1974.39
320,"1940 Ford Delivery Sedan",8,74.64,23,1716.72
320,"Corsair F4U ( Bird Cage)",8,55.96,28,1566.88
320,"1930 Buick Marquette Phaeton",8,34.91,34,1186.94
320,"American Airlines: B767-300",8,86.77,36,3123.72
320,"HMS Bounty",8,87.80,26,2282.80
320,"America West Airlines B757-200",8,79.78,26,2074.28
320,"The USS Constitution Ship",8,69.39,31,2151.09
320,"F/A 18 Hornet 1/72",8,70.40,28,1971.20
320,"American Airlines: MD-11S",8,65.15,34,2215.10
320,"Boeing X-32A JSF",8,49.66,37,1837.42
381,"1928 Ford Phaeton Deluxe",8,56.41,20,1128.20
205,"1969 Harley Davidson Ultimate Chopper",8,76.56,45,3445.20
205,"1996 Moto Guzzi 1100i",8,104.67,37,3872.79
205,"2003 Harley-Davidson Eagle Drag Bike",8,154.93,33,5112.69
205,"2002 Suzuki XREO",8,146.10,49,7158.90
205,"P-51-D Mustang",8,71.81,30,2154.30
205,"1936 Harley Davidson El Knucklehead",8,52.70,30,1581.00
205,"1997 BMW R 1100 S",8,103.68,43,4458.24
205,"1928 British Royal Navy Airplane",8,87.54,40,3501.60
205,"1960 BSA Gold Star DBD34",8,63.98,47,3007.06
205,"1982 Ducati 900 Monster",8,56.10,27,1514.70
205,"1900s Vintage Tri-Plane",8,71.73,33,2367.09
205,"1997 BMW F650 ST",8,99.89,33,3296.37
205,"1982 Ducati 996 R",8,39.43,31,1222.33
205,"1974 Ducati 350 Mk3 Desmo",8,95.93,27,2590.11
205,"2002 Yamaha YZR M1",8,73.22,38,2782.36
205,"ATA: B757-300",8,113.90,20,2278.00
447,"1957 Vespa GS150",9,60.30,47,2834.10
447,"1957 Corvette Convertible",9,130.94,29,3797.26
379,"1968 Ford Mustang",9,161.49,48,7751.52
379,"1968 Dodge Charger",9,110.39,31,3422.09
379,"1970 Plymouth Hemi Cuda",9,74.21,21,1558.41
379,"1969 Dodge Charger",9,97.89,33,3230.37
379,"1948 Porsche 356-A Roadster",9,70.84,26,1841.84
379,"1969 Dodge Super Bee",9,74.78,36,2692.08
379,"1976 Ford Gran Torino",9,129.35,37,4785.95
379,"1982 Lamborghini Diablo",9,33.23,25,830.75
379,"1971 Alpine Renault 1600s",9,48.98,30,1469.40
379,"1956 Porsche 356A Coupe",9,123.58,23,2842.34
379,"1961 Chevrolet Impala",9,72.76,31,2255.56
276,"1993 Mazda RX-7",9,114.65,23,2636.95
276,"1965 Aston Martin DB5",9,108.26,47,5088.22
276,"1995 Honda Civic",9,136.56,25,3414.00
276,"1999 Indy 500 Monte Carlo SS",9,113.52,27,3065.04
276,"1992 Ferrari 360 Spider red",9,143.94,32,4606.08
276,"1948 Porsche Type 356 Roadster",9,135.63,28,3797.64
276,"1932 Alfa Romeo 8C2300 Spider Sport",9,83.75,34,2847.50
276,"1957 Ford Thunderbird",9,66.28,29,1922.12
276,"1970 Chevy Chevelle SS 454",9,65.41,25,1635.25
276,"1966 Shelby Cobra 427 S/C",9,46.29,47,2175.63
276,"1949 Jaguar XK 120",9,77.24,21,1622.04
276,"1952 Citroen-15CV",9,115.09,34,3913.06
276,"1969 Chevrolet Camaro Z28",9,71.91,31,2229.21
276,"2002 Chevy Corvette",9,96.37,27,2601.99
487,"1937 Lincoln Berline",9,87.33,50,4366.50
487,"1936 Mercedes-Benz 500K Special Roadster",9,48.52,30,1455.60
487,"1917 Grand Touring Sedan",9,156.40,34,5317.60
487,"1911 Ford Town Car",9,50.85,24,1220.40
487,"1932 Model A Ford J-Coupe",9,125.86,33,4153.38
487,"1928 Mercedes-Benz SSK",9,167.06,23,3842.38
487,"1917 Maxwell Touring Car",9,89.29,42,3750.18
487,"1939 Chevrolet Deluxe Coupe",9,31.20,36,1123.20
487,"1938 Cadillac V-16 Presidential Limousine",9,39.87,49,1953.63
487,"1936 Mercedes Benz 500k Roadster",9,38.57,26,1002.82
487,"1936 Chrysler Airflow",9,90.57,20,1811.40
148,"1952 Alpine Renault 1300",9,182.16,45,8197.20
148,"1962 LanciaA Delta 16V",9,121.15,20,2423.00
148,"1958 Setra Bus",9,135.30,30,4059.00
148,"1940 Ford Pickup Truck",9,95.67,34,3252.78
148,"1913 Ford Model T Speedster",9,93.21,47,4380.87
148,"1934 Ford V8 Coupe",9,56.21,30,1686.30
148,"18th Century Vintage Horse Carriage",9,97.39,26,2532.14
148,"1940s Ford truck",9,111.39,49,5458.11
