Link,Price,Address,Number of Rooms,Living Space Area,Highlighted Description,Description
/rent/4000536431," CHF 9,740.– / monthTop",8640 Rapperswil,3.5 rooms 260m² living space ,3.5 rooms 260m² living space ,Exklusive Gartenwohnung mit privatem Seeanstoss in der Kempratener Buc,"Exklusive Gartenwohnung mit privatem Seeanstoss in der Kempratener Buc Dieses einmalige Bijou mit direkten Seezugangn bietet ein traumhaftes, einzigartiges Panorama auf den Zürichsee. Es handelt sich um eine der wenigen Immobilien am Zürichsee, von der Sie von Sonnenaufgang bis Sonnenuntergang die einmalige Fernsicht geniessen können. Das durchdachte Raumkonzept der Wohnung bietet von allen Zimmer einen direkten Seeblick und durch die ebenerdigen Zugänge verschmelzen die Innenräume mit dem See. Lage: - privater 40 Meter langer Seeanstoss/Seezugang exklusiv für die Bewohner (KEIN STRANDWEG) mit Steg und Aussendusche - uneingeschränkte Ruhe und Privatsphäre im gepflegten Garten - Bahnhof, Bushaltestelle, Einkaufszentrum, Altstadt Rapperswil in Gehdistanz (5 Minuten) Wohnungsbeschrieb: Der grosszügige, lichtdurchflutete Wohn- und Essbereich lädt mit seinem Cheminée und hellem Marmorboden zum Verweilen ein. Die einmalige Seeatmosphäre kann auch im Winter hautnah im beheizten Wintergarten genossen werden. Das geräumige Hauptbadezimmer mit Wellness-Oase (Sauna, Jacuzzi) besticht mit einem direkten Zugang zum master bedroom. Die Küche ist mit den neusten und hochwertigen Geräten von V-Zug und Miele ausgestattet. Die Wohnung bietet folgendes Raumprogramm: - Offener und lichtdurchfluteter Wohn- / Essbereich - Heller Küchenbereich mit exklusiven V-Zug - und Mielegeräten - Beheizter Wintergarten - Drei Schlafzimmer (master bedroom mit grosszügigem Einbauschrank) - Zwei Bäder, eines davon mit Sauna &amp; Jacuzzi - Reduit mit Waschturm von V-Zug - 2 Tiefgaragenplätze - Grosszügiger Keller und privater ebenerdiger Veloraum - Disponel zwischen Tiefgarage und Seezugang mit Platz für Stand Up Paddle, Kanu und weiteren Wassersportgeräten - Videogegensprechanlage und Überwachungskameras im gesamten Aussenbereich Ob ein erfrischender Feierabendschwumm oder schlicht die einmalige, traumhafte Aussicht geniessen, hier werden Sie sich wohlfühlen. Kontaktieren Sie uns für einen Besichtigungstermin und erfüllen Sie sich den einmaligen Traum vom Wohnen direkt am See. "
/rent/4000498168," CHF 5,550.– / monthTop",8915 Hausen am Albis,4 rooms 210m² living space ,4 rooms 210m² living space ,Charmanter Riegelhausteil im Dorfkern,"Charmanter Riegelhausteil im Dorfkern Ihr neues Zuhause befindet sich im Ortskern von Hausen am Albis. Das 1850 erbaute Riegelhaus wurde laufend unterhalten und 2019 umfassend renoviert, sodass es heute durch Charme und Gepflegtheit besticht. Der zu vermietende Hausteil mit seinen 4 Zimmern plus Galerie und einer ca. 210 m² grossen Wohnfläche bietet Grosszügigkeit und Geborgenheit in Einem.Im Erdgeschoss finden Sie ein Büro mit Kachelofen und eine Küche, die ins Esszimmer führt. Die moderne Küche wurde 2019 komplett erneuert und bietet alles, was man sich heute für ein modernes Kochen wünscht. Erdgeschoss und 1. Obergeschoss verfügen über einen neuen Parkett und Keramikbodenbelag.Im ersten Stock gelangen Sie in einen charmanten Wohnbereich voller Möglichkeiten. Ein Schlafzimmer und ein Badezimmer mit Wanne und WC warten dort ebenfalls. Der zweite Stock beherbergt zwei weitere Zimmer, eines davon mit Specksteinofen, sowie ein zusätzliches Badezimmer mit Dusche und WC.Im Untergeschoss befindet sich ein grosser Keller, eine Waschküche mit Waschturm und ein ausgebautes Atelier mit Gartenzugang. Der Garten ist ein wahres Schmuckstück. Gemüsebeet, Pergola und separater Sitzplatz lassen Selbstversorger-, Gastgeber und auch Kinderherzen höherschlagen.- Riegelhaus mit einzigartigem Charme- 1850 erbaut, 2019 umfassend renoviert- Integriertes Soundsystem von Bang &amp; Olufsen- Galerie und Atelier- Grosser Garten mit Pergola, Gemüsebeet und SitzplatzHaben wir Ihr Interesse geweckt? Gerne stehen wir Ihnen für Fragen und Besichtigungstermine zur Verfügung!Im Herzen von Hausen am Albis "
/rent/4000536432," CHF 10,330.– / monthTop",8038 Zürich,4 rooms 300m² living space ,4 rooms 300m² living space ,Idyllisches Wohnen mit Sicht auf den Zürichsee,"Idyllisches Wohnen mit Sicht auf den Zürichsee Wir vermieten ab sofort oder nach Vereinbarung diese wunderbare Maisonette-Gartenwohnung an ruhiger Lage in Zürich Wollishofen. Die Wohnung bietet unendlich viel Platz und Privatsphäre. Im Garten oder auf einem der drei Balkonen spannen Sie vom Alltag aus und geniessen dabei sogar Seesicht. Die gute Lage der Liegenschaft bietet Natur und Stadtnähe in Einem. Wenn Sie hier Wohnen, verzichten Sie auf nichts. Die 234 m2 grosse Wohnung bietet folgendes Raumprogramm: - 66 m2 grosses Wohnzimmer - 23 m2 grosses, separates Esszimmer mit Balkon, welches mittels Durchreiche direkt mit der Küche verbunden ist - 4 Schlafzimmer, davon 1 Masterbedroom mit Walk-in-Closet und En-Suite-Bad - 1 offener Arbeitsbereich - 3 Nasszellen, davon 2 total renoviert - Kellerabteil mit ca. 15 m2 Als Zusatz kann innerhalb des Hauses ein separates Zimmer mit Dusche/WC (15m2) im Erdgeschoss dazu gemietet werden. Dieser Raum kann als Gästezimmer, Büro oder Hobbyraum genutzt werden. Die Nebenkosten werden zusätzlich für CHF 800.-/Monat abgerechnet. Überdies können bis zu drei Garagenplätze in der direkt zugänglichen Tiefgarage angemietet werden. Haben wir Ihr Interesse geweckt? Wir freuen uns Ihnen das Objekt anlässlich einer Besichtigung zeigen zu dürfen.Stadtrand, ruhig "
/rent/4000619861," CHF 3,100.– / monthTop","Obstgartenweg 17, 8708 Männedorf",3.5 rooms 140m² living space ,3.5 rooms 140m² living space ,4 1/2- Zimmerwohnung mit See- und Bergsicht,"4 1/2- Zimmerwohnung mit See- und Bergsicht Helle 3.5 Zimmer Wohnung in Männedorf, mit See- und Bergsicht.Per 1. April 2024 oder nach Vereinbarung vermieten wir eine grosszügige 4 1/2 Zi-Wohnung in Männedorf.Die Wohnung wurde laufend unterhalten, und verfügt unter anderem über: • Grosses Wohnzimmer und direkter See Sicht, Balkon. • Offenes Esszimmer auch mit See Sicht und Durchreiche zur Küche. • Grosszügige Küche mit viel Stauraum, Backofen, Induktionsherd, grossem Kühlschrank und Geschirrspüler • 2 Badezimmern, Bad/WC und WC/Dusche • Sämtliche Böden sind pflegeleichte Platten oder Parkettböden • Abstell in der Wohnung integriert • Gemeinsame Waschküche - Waschmaschine und Trockner zur Gemeinschaftsnutzung befinden sich im Keller. Die Wohnung ist mit eigenem Waschmaschine ausgestattet. • Grosses Kellerabteil • Eine Garagenbox für Fr. 160.00/Mt. kann dazu gemietet werden Das Halten Haustieren bedarf der schriftlichen Zustimmung des Vermieters.Das Spital, Dorfzentrum, Einkaufsmöglichkeiten, und der Bahnhof ist in 15-20 Minuten zu Fuss erreichbar.Die Busstation erreichen Sie in 300 m Entfernung, wo Sie der Bus in wenigen Minuten zum Bahnhof Männedorf/Stäfa bringt und Sie mit dem Zug in 30 Minuten Takt nach Zürich Stadelhofen (S7) oder Hauptbahnhof gelangen.Haben wir Ihr Interesse geweckt? Dann freuen wir uns auf Ihre Kontaktaufnahme.Bitte senden Sie uns ein Email für eine Besichtigung - we are English/French speakers.Die meisten unserer Möbel (Waschmaschine, Aufbewahrungsmöbel, Schlafzimmermöbel, Kleiderschrank, Tische, Stühle usw.) stehen zum Verkauf oder sind kostenlos. Bitte teilen Sie uns bei Interesse mit. "
/rent/4000619472," CHF 2,280.– / monthTop","Rue Gilbert 19, 1217 Meyrin",1.5 rooms 29m² living space ,1.5 rooms 29m² living space ,Appartement meublé à Meyrin,"Appartement meublé à Meyrin Lumineux studio meublé à Meyrin.1.50CHFchargescomprise.TV,internet,électricité Place de parking disponible à 150Chf/mois "
/rent/4000619387," CHF 2,550.– / monthTop","Kirchstrasse 5, 8890 Flums",2.5 rooms 68m² living space ,2.5 rooms 68m² living space ,Wohnen in herrschaftlichem Wohnhaus aus dem Jahr 1624 (EG2),"Wohnen in herrschaftlichem Wohnhaus aus dem Jahr 1624 (EG2) Das Zinkhaus in Flums: Ein herrschaftliches Wohnhaus aus dem Jahr 1624, gebaut von Söldnerhauptmann Heinrich Zink und seiner Gattin, Anna Maria Tschudi. Stilgerecht renoviert 2021-2024, in Zusam­menarbeit mit der Denkmalpflege des Kantons St. Gallen mit natürlichen, gesunden Materialien, wie Sumpfkalk, Oelfarben, Kalkfarben, Isolationen aus Steinwollle Flumroc, Cellulose und Holzfasern. Auf chemiche Zusätze wurde verzichtet. Zahlreiche Originalteile konnten erhalten werden und werden weiter verwendet: Zimmertüren, Kassettentäfer, Fenster Sitznischen, 2 alte Original Möbel, je ein Schrank und ein Buffet. Die moderne Bodenheizung mit einer Luft-Wasser Wärmepumpe rundet das angenehmen Raumklima ab. "
/rent/4000619365," CHF 2,080.– / monthTop","In den Ziegelhöfen 153, 4054 Basel",2 rooms 52m² living space ,2 rooms 52m² living space ,Neubadquartier - Einziehen und wohlfühlen!,"Neubadquartier - Einziehen und wohlfühlen! Überzeugen Sie sich selbst!Im beliebten Neubadquartier haben Sie die Möglichkeit diese geräumige 2-Zimmer-Wohnung im 1. OG (kein Lift) zu mieten.Die zweckmässige Küche verfügt über einen Geschirrspüler. Die ganztags besonnte Wohnung, welche über Holzböden verfügt, ist sehr ruhig gelegen und hat zwei Balkone.Haben wir Ihr Interesse geweckt? Wir freuen uns auf Ihre Kontaktaufnahme! "
/rent/4000619205," CHF 2,400.– / monthTop","Südstrasse 1, 8157 Dielsdorf",2.5 rooms 55m² living space ,2.5 rooms 55m² living space ,Wohnung in Dielsdorf,"Wohnung in Dielsdorf Herzlich willkommen in Ihrem neuen Zuhause! Diese ansprechende 2.5-Zimmer-Wohnung bietet nicht nur eine großzügige Wohnfläche von 55 m², sondern auch eine wunderbare Helligkeit, die den Charme der Räumlichkeiten unterstreicht. Die Wohnung befindet sich im 1. Obergeschoss eines gepflegten Wohnhauses in der Südstrasse 1 in Dielsdorf.Wohnfläche: 55 m²Der offene Grundriss schafft eine einladende Atmosphäre und ermöglicht eine flexible Gestaltung der Wohnbereiche. Die Wohnung ist besonders gut belichtet, wodurch ein angenehmes Wohngefühl entsteht. Die moderne Küche ist mit hochwertigen Geräten ausgestattet und bietet viel Platz für kreative Kochideen.Ein weiteres Highlight ist die großzügige Raumaufteilung, die der Wohnung einen zusätzlichen Wohnkomfort verleiht. Die 2.5 Zimmer ermöglichen individuelle Nutzungsmöglichkeiten, sei es als Schlafzimmer, Arbeitszimmer oder gemütlicher Rückzugsort.Die zentrale Lage in Dielsdorf macht diese Wohnung besonders attraktiv. Einkaufsmöglichkeiten, öffentliche Verkehrsmittel und Freizeiteinrichtungen befinden sich in unmittelbarer Nähe.Wohnung hat kein ParkplatzAusstattung: • Helle und gemütliche Räume • Modern ausgestattete Küche • Großzügige Raumaufteilung • Zentrale Lage • Verfügbar ab sofort Mietkonditionen: • Mietpreis: CHF 1850 pro Monat (inkl. Nebenkosten) • Verfügbar ab: Sofort Möchten Sie sich persönlich von dieser charmanten Wohnung überzeugen? Zögern Sie nicht und vereinbaren Sie noch heute einen Besichtigungstermin. Wir stehen Ihnen gerne zur Verfügung, um Ihnen diese schöne 2.5-Zimmer-Wohnung vorzustellen. "
/rent/4000619195," CHF 1,760.– / monthTop","Aeschistrasse 16A, 3362 Niederönz",2.5 rooms 40m² living space ,2.5 rooms 40m² living space ,Schöne sonnige  2.5 Zimmer Wohnung mit Balkon,"Schöne sonnige  2.5 Zimmer Wohnung mit Balkon Wir vermieten per 1. Februar 2024 oder nach Vereinbarung, eine schöne 2.5 Zimmer Balkonwohnung in der steuergünstigen Gemeinde Niederönz.Die alters- und behindertengerechte Wohnung ist wie folgt ausgestattet:- helle und offene Küche mit Glaskeramikkochfeld und Geschirrspüler- sämtliche Küchengeräte sind auf bedienerfreundlicher Höhe- geräumiges Wohnzimmer- alle Wohnräume sind mit Parkettboden ausgestattet- Bad mit ebenerdiger Dusche- sonniger Balkon- Reduit mit eigenem Waschturm- alle Storen mit elektrischer Steuerung- Kellerabteil (mit Lift erreichbar)Ein vorinstalliertes Notrufsystem kann genutzt werden.Die zentrale Lage der Wohnung ist aber auch für ÖV-Nutzer ideal:- Bahnhof Herzogenbuchsee, ca. 600 m- Schulen, ca. 300 m- Bäckerei und Bushaltestelle, ca. 50 mZudem werden an der Aeschistrasse ""Erneuerbare Energien"" gross geschrieben! Aus diesem Grund profitieren unsere Mieter von der Solaranlage auf den Dächern und den damit verbundenen Spezialtarifen.Ein Parkplatz resp. überdachter Parkplatz kann nach Absprache dazu gemietet werden.Konnten wir Ihr Interesse wecken? Rufen Sie uns an, gerne vereinbaren wir einen Besichtigungstermin mit Ihnen.*Bei den Bildern handelt es sich um eine beispielhafte Ausstattung und Lage der Wohnung, wobei die ausgeschriebene Wohnung geringfügig davon abweichen kann. "
/rent/4000619194," CHF 3,070.– / monthTop","Stationsstrasse 44, 8105 Regensdorf",3.5 rooms 130m² living space ,3.5 rooms 130m² living space ,"Regensdorf, zentral gelegen und doch ruhig, mit schönem Balkon","Regensdorf, zentral gelegen und doch ruhig, mit schönem Balkon Die Fotos in diesem Inserat stammen von einer ähnlichen Wohnung in der selben Liegenschaft.Die Liegenschaft ist 2 Min. vom Bahnhof entfernt. Der Hauptbahnhof Zürich ist mir der S-Bahn in 17 Min. erreichbar und Zürich Oerlikon ist in 9 Min. erreichbar. Die Lage ist sehr zentral und trotzdem ruhig. Moderne Architektur auf Niveau Minergiestandard.Küche mit Granitabdeckung, Glaskeramikherd, Geschirrspühler und Mikrowelle.Wohn- und Schlafräume mit Eichenparkett.Bad und Küche mit keramischen Platten.Zu der Wohnung gehört ein gedeckter Balkon, Des Weiteren gehört ein grosszügiges Kellerabteil zur Wohnung. Die Wohnung ist mit reichlich Steckdosen und einem Multimediaanschluss ausgestattet. Alle Fenster mit Isolierverglasung.Es besteht die Möglichkeit in der Tiefgarage ein Autoabstellplatz für CHF 130.-- pro Monat zuzumieten. Von der Tiefgarage ist die Wohnung mit dem Lift erreichbar. "
/rent/4000619180," CHF 2,150.– / monthTop","Holderbachweg 21B, 8046 Zürich",1.5 rooms 37m² living space ,1.5 rooms 37m² living space ,Wohnung in Zürich,"Wohnung in Zürich Willkommen in Ihrem neuen Zuhause! Diese wunderschöne und helle 1.5-Zimmer-Wohnung befindet sich im Erdgeschoss eines gepflegten Wohnhauses am begehrten Holderbachweg 21b in Zürich.Wohnfläche: 37 m²Die Wohnung besticht durch ihre Helligkeit und großzügige Raumaufteilung. Der offene Wohn- und Schlafbereich schafft eine einladende Atmosphäre. Die modern gestaltete Küche ist mit hochwertigen Geräten ausgestattet und bietet ausreichend Platz für kulinarische Entfaltung.Ein besonderes Highlight dieser Wohnung ist der großzügige Gartensitzplatz. Hier können Sie die warmen Tage im Freien genießen, entspannen und Gäste empfangen. Der grüne Aussenbereich bietet Raum für individuelle Gestaltungsideen und lädt zum Verweilen ein.Die Lage am Holderbachweg 21b zeichnet sich durch ihre Ruhe und dennoch zentralen Anschluss aus. Einkaufsmöglichkeiten, öffentliche Verkehrsmittel und diverse Freizeiteinrichtungen befinden sich in unmittelbarer Nähe.Ausstattung: • Großzügige Räume • Moderne Küche mit hochwertigen Geräten • Großzügiger Gartensitzplatz • Zentrale und dennoch ruhige Lage • Einkaufsmöglichkeiten und öffentliche Verkehrsmittel in der Nähe • Eigene Waschmaschine und Tumbler in der Wohnung Mietkonditionen: • Mietpreis: CHF 1.37 pro Monat (inkl. Nebenkosten &amp; Aussenparkplatz) • Verfügbar ab: 01.02.2024 Möchten Sie sich persönlich von diesem einzigartigen Wohnangebot überzeugen? Kontaktieren Sie uns noch heute, um einen Besichtigungstermin zu vereinbaren. Wir freuen uns darauf, Ihnen diese charmante Wohnung näher zu bringen und stehen für weitere Fragen gerne zur Verfügung. "
/rent/4000619179," CHF 3,900.– / monthTop","Schützenstrasse 13, 4103 Bottmingen",2.5 rooms 140m² living space ,2.5 rooms 140m² living space ,Grosszügige und sonnige 2.5 Zi.-Wohnung mit Wintergarten am Waldrand,"Grosszügige und sonnige 2.5 Zi.-Wohnung mit Wintergarten am Waldrand Grosszügige und sonnige 2.5 Zimmer Wohnung im 1. OG mit Gartensitzplatz (ab 15.3.2024 verfügbar)An sonniger Hanglage mit Aussicht auf die sehr Steuer günstige Gemeine Bottmingen (Steuersatz 45%) finden Sie, sehr verehrter Interessent, in der 2013 neu erstellten Liegenschaft mit Top Ausbaustandart Ihr neues Heim.Das Haus ist im Eigentumswohnungsstandart erstellt, bestens isoliert und befindet sich am Ende der Schützenstrasse ohne Durchgangsverkehr direkt am Waldrand. Die Finnenbahn wie auch ein Aussenfittnesbereich von Bottmingen erreichen Sie in 2-3 Gehminuten, ebenso ein kleines Naturparadies mit Weiher.An das 44 qm grosse Wohnzimmer schliesst sich ein 15 qm grosser Wintergarten an, der durch die faltbaren Türen auf 5 m Länge ins Grüne geöffnet werden kann. Somit geniessen Sie die Vorzüge eines Wintergarten sowie eines Balkon in Süd- und Westlage mit Blick auf das Dorf Bottmingen. Die Sonne ist Ihnen zu jeder Jahreszeit garantiert.Eine moderne offene Küche jedoch dezent versorgt mit Glaskeramikkochfeld, GWM, Backofen, separatem Steamer/Dampfgarer und vielen Versorgungsschränken bietet Ihnen alle Möglichkeiten sich kulinarisch zu verwöhnen.Das Schlafzimmer in Ost-Lage begrüsst Sie mit Morgensonne und einem integrierten Bad. Das zweite Zimmer bietet Ihnen eine Süd-West Lage z.B. als Büro. In jedem Zimmer befindet sich ein TV sowie Internetanschluss.Im Eingangsbereich der Wohnung ist ein grosser Einbauschrank als Garderobe und Putzschrank.Das Bad mit Badewanne und WC, sowie eine separate Dusche mit eigener Waschmaschine/Tumbler und WC runden Ihr unabhängiges Wohlbefinden ab.Im Herbst und Winter können Sie im Schwedenofen ein knisterndes und wärmendes Feuer entfachen, um sich dem Winterwetter zu entziehen. Grosse Fensterflächen mit viel Grün bieten den Blick in die Natur, Garten und ins Dorf Bottmingen.Im Untergeschoss steht für Sie ein Kellerabteil mit eigenem Stromanschluss zur Verfügung.Ausserdem gibt es einen Garten mit einer Lounge und Feuerstelle zur freien Verfügung. Somit geniessen Sie die Vorzüge einer sicheren Wohnung im 1. OG sowie einer Gartenwohnung. Dieser Garten steht für alle Hausbewohner zur Verfügung.Unser Haus wird mittels umweltfreundlicher Geothermie beheizt und die gesamte Wohnung verfügt über hygienische und beheizte Keramikbodenplatten.In nur 4-5 Minuten erreichen sie das Tram oder den Bus, welcher sie in 8 Minuten nach Basel bringt. Der Ortsbus ist gar nur 3 Minuten entfernt und fährt zur Tramstation in Bottmingen und Oberwil. Ein Tiefgaragen- und/oder Aussenabstellplatz kann dazu gemietet werden.Wenn Sie den Wunsch einer Wohnraumveränderung hegen, sollten Sie sich eine unverbindliche Besichtigung nicht entgehen lassen.Die Wohnung ist ab dem 15. März 2024 verfügbar.(Einige Bilder von den Wohnräumen sind direkt nach Fertigstellung des Hauses erstellt worden, andere mit Einrichtung als Orientierung. Zum Teil wurde ein Weitwinkelobjektiv verwendet und es kommt zu einer etwas anderen Optik, ermöglicht aber die bessere Übersicht.) "
/rent/4000618964," CHF 3,850.– / monthTop","Im Stoffel 27, 8887 Mels",2.5 rooms 170m² living space ,2.5 rooms 170m² living space ,Traumhafte Loft Wohnung 170 m2 - in alter Spinnerei - Erstbezug,"Traumhafte Loft Wohnung 170 m2 - in alter Spinnerei - Erstbezug Im ehemaligen Stoffel-Areal über Mels entstand über die letzten Jahre ein modernes, urbanes Wohnareal mit einem unübertroffenen Flair für das besondere, privilegierte Wohnen inmitten intakter Natur. Die aussergewöhnliche Loft bietet nebst hohen, lichtdurchfluteten Räumen sowie der grosszügigen Wohnfläche eine einmalige Atmosphäre für Liebhaber besonderer Architektur.Loft / 2. OG / Fertigstellung 2023 / Zimmer 2.5 / Wohnraum mit offener Küche / Schlafzimmer / Badezimmer mit Badewanne / Entree mit Garderobe / Ankleide mit Einbauschrank / Reduit mit WM/Tumbler / Wohnfläche ca. 170 m² / Balkon ca. 10m2 / Lift / Pool / Sauna Optional: Keller und GaragenstellplatzWeitere Highlights:Lichtdurchflutete Räume mit hohen Decken bis 3.75 mElektrische AussenstorenÜberhohe Fenster mit SitzbänkenGrossartige AusblickeExklusive Infrastruktur mit Standseilbahn ins DorfMeeting-/Gemeinschaftsraum Schulen in 10 Minuten fussgängig erreichbarGute ÖV-Verbindung mit Bushalte-Stelle in unmittelbarer NäheGeschäfte für täglichen Bedarf bequem erreichbarTiefgarage und genügend Parkplätze für GästeAreal innen autofrei!Einmaliges, urbanes Wohngefühl mit alpinem LandschaftsbildUmweltfreundliche Stromproduktion durch WasserkraftCO2-neutrale Wärmegewinnung via SchnitzelheizungAutobahn und Bahnhof Sargans in wenigen Minuten erreichbarWir freuen uns, Ihnen dieses besondere Schmuckstück zeigen zu dürfen. "
/rent/4000618622," CHF 3,370.– / monthTop",8910 Affoltern am Albis,3.5 rooms 130m² living space ,3.5 rooms 130m² living space ,Attikawohnung in Affoltern am Albis,"Attikawohnung in Affoltern am Albis ! EINMALIGER WOHNUNGSTAUSCH ! Willkommen in Ihrer neuen Wohlfühloase! Wir bieten Ihnen die Möglichkeit, unsere wunderschöne 3.5-Zimmer- Attikawohnung gegen Ihre charmante 3.5-Zimmer-Erdgeschosswohnung zu tauschen. Als Familienwohnung oder WG. Grosszügiger Wohnraum / Raumaufteilung. Jeder Raum ist hell, durchdacht gestaltet und bietet viel Platz für individuelle Entfaltungsmöglichkeiten. Elternschlafzimmer mit direktem Zugang zum Balkon. Gehobene Ausstattung der Küche mit eleganter Granitabdeckung, modernen Geräten ( Elektrolux ) und viel Stauraum. Stilvolles Badezimmer mit Badewanne und Dachfenster. Separates Badezimmer mit Dusche und Waschturm. (Adorina L) Hochwertige Bodenbeläge. Küche und Badezimmer, dunkle Steinplatten. Wohnraum und Zimmer, helles Eichenparkett. Die Wohnung ist umgeben von grünen Oasen und lädt dazu ein, die Natur unmittelbar vor der Haustür zu erleben. Perfekt für entspannte Spatziergänge oder gemütliche Abende im Freien. Perfekte Verkehrsanbindungen nach Zug und Zürich. Unzählige Einkaufsmöglichkeiten, sowie Schulen, Sportanlagen und Spielplatz finden Sie alles in Ihrer Nähe.Grosse Terrasse wo Sie Ihren Feierabend geniessen und mit schönen Sonnenuntergängen den Abend ausklingen lassen können. Neben dem Keller, befindet sich in einem Zimmer noch eine kleine Versteckte Türe, welche noch mehr Stauraum gewährt. Eure Haustiere sind hier sehr gerne Willkommen. Eure 3.5-Zimmer-Erdgeschosswohnung sollte per März/ April 2024 Einzugsbereit sein. In Affoltern am Albis oder Umgebung liegen. Miete Netto ca. 1800.- Wir freuen uns auf Euch! Bei Interesse und Fragen zur Wohnung könnt Ihr mich gerne per Mail kontaktieren. Besichtigungstermine werden noch Bekanntgegeben. Lg K.D "
/rent/4000618607," CHF 3,510.– / monthTop","Parkweg 1, 4852 Rothrist",3.5 rooms 190m² living space ,3.5 rooms 190m² living space ,Dem Himmel so nah,"Dem Himmel so nah In der Wohnüberbauung Parkweg 1, 3, 5, 7, 9, 11 und 13 in Rothrist vermieten wir per 01.03.2024 oder nach Vereinbarung eine grosszügige 3.5-Zimmerwohnung im dritten OG. Lassen Sie sich von folgenden Punkten überzeugen: - eigener Waschturm in der Wohnung im Reduit- Plattenboden in der Küche und in Dusche/WC und Bad/WC und Reduit- Parkettboden im Wohn- und Schlafzimmer, sowie Korridor- Offene Küche mit Elektrolux Küchengeräte und kleinem Frühstückstisch in Granit- Bad/WC anschliessend vom Schlafzimmer mit Tageslicht- Dusche/WC mit Tageslicht- Bodenheizung in der ganzen Wohnung- Einbauschrank / Garderobe- Grosse Terrasse mit Reduit- Grosszügigies KellerabteilEinstellplatz ab CHF 125.- und/oder Bastelraum ab CHF 144.- können dazu gemietet werden.n der Nähe finden Sie das Freibad, den Fussball- und Tennisplatz sowie die Apotheke, ein Restaurant, die Klinik Villa im Park und eine Bäckerei. Der Kindergarten oder die Schule befinden sich in der Nähe. Einkaufsmöglichkeiten wie Migros, Coop und Lidl sind in wenigen Minuten erreichbar, wie auch die Autobahn Ein-und Ausfahrt.Vereinbaren Sie noch heute einen Besichtigungstermin in der Kinderfreundlichen Überbauung. Für Fragen stehen wir Ihnen gerne zur Verfügung. "
/rent/4000618311," CHF 1,630.– / monthTop","Hauptstrasse 54a, 4127 Birsfelden",2 rooms 34m² living space ,2 rooms 34m² living space ,"ZENTRAL GELEGENE, ERNEUERTE 1-ZIMMER-WOHNUNG AN DER BIRS","ZENTRAL GELEGENE, ERNEUERTE 1-ZIMMER-WOHNUNG AN DER BIRS Die Liegenschaft Hauptstrasse 54a in Birsfelden ist sehr zentral und doch ruhig gelegen.Einkaufsmöglichkeiten sowie der öffentliche Verkehr befinden sich in unmittelbarer Nähe, praktisch vor der Haustüre.In den 2-Zimmer-Wohnungen im 1., 2. und 3. Stock werden die Küchenzeilen ersetzt, neue Vinyl-Böden verlegt und alles frisch gestrichen.Eine Waschmaschine steht zur allgemeinen Mitbenutzung zur Verfügung.Haben wir Ihr Interesse geweckt? Dann zögern Sie nicht, sich bei uns zu melden. "
/rent/4000618312, CHF 980.– / monthTop,"Hauptstrasse 54a, 4127 Birsfelden",1 room 21m² living space ,1 room 21m² living space ,"ZENTRAL GELEGENE, ERNEUERTE  1-ZIMMER-WOHNUNG AN DER BIRS","ZENTRAL GELEGENE, ERNEUERTE  1-ZIMMER-WOHNUNG AN DER BIRS Die Liegenschaft Hauptstrasse 54a in Birsfelden ist sehr zentral und doch ruhig gelegen.Einkaufsmöglichkeiten sowie der öffentliche Verkehr befinden sich in unmittelbarer Nähe, praktisch vor der Haustüre.In den 1-Zimmer-Wohnungen im 1., 2. und 3. Stock werden die Küchenzeilen ersetzt, neue Vinyl-Böden verlegt und alles frisch gestrichen.Eine Waschmaschine steht zur allgemeinen Mitbenutzung zur Verfügung.Haben wir Ihr Interesse geweckt? Dann zögern Sie nicht, sich bei uns zu melden. "
/rent/4000617646," CHF 1,790.– / monthTop","Dorfstrasse 20, 8310 Grafstal",2.5 rooms 34m² living space ,2.5 rooms 34m² living space ,Wohnung in Grafstal mit WG Qualitäten,"Wohnung in Grafstal mit WG Qualitäten Mitten im Dorfkern von Grafstal und in Gehdistanz zum Bahnhof und zu THE VALLEY liegt das kleine Flarzhaus mit einer 2.5 Zimmer und einer 4,5 Zimmer Wohnung und einem lauschigen Sitzplatz zur gemeinsamen Nutzung vor dem Haus.Die helle, gemütliche Wohnung wurde saniert und bietet ideale Voraussetzungen für eine WG oder eine Kombination aus Wohnen und Arbeiten. Die geräumige Küche ist von Beiden Zimmern erreichbar und bietet Platz für einen kleinen Esstisch.Die neu sanierten Nasszellen sind über den Korridor erreichbar.Waschmaschine Tumbler sind zur gemeinsamen Nutzung im Untergeschoss untergebracht.INKLUSIVE: Lagerplatz im Untergeschoss, InternetAUSSENPARKPLATZ: kann bei Bedarf dazu gemietet werden.BEZUG: nach VereinbarungFORMULAR BEWERBUNG: https://resus.swiss/formulare/ "
